咖啡,咖啡,kāfēi
卡车,卡車,kǎchē
开,開,kāi
开始,開始,kāishǐ
开玩笑,開玩笑,kāiwánxiào
开学,開學,kāixué
看,看,kàn
看病,看病,kànbìng
看见,看見,kànjiàn
考试,考試,kǎoshì
棵,棵,kē
科学,科學,kēxué
咳嗽,咳嗽,késòu
可能,可能,kěnéng
可是,可是,kěshì
可以,可以,kěyǐ
渴,渴,kě
克,克,kè
刻,刻,kè
客气,客氣,kèqì
课,課,kè
课本,課本,kèběn
课文,課文,kèwén
空气,空氣,kōngqì
口,口,kǒu
口语,口語,kǒuyǔ
哭,哭,kū
苦,苦,kǔ
块,塊,kuài
快,快,kuài
困难,困難,kùnnán
拉,拉,lā
啦,啦,la
来,來,lái
蓝,藍,lán
篮球,籃球,lánqiú
劳动,勞動,láodòng
劳驾,勞駕,láojià
老,老,lǎo
老师,老師,lǎoshī
了,了,le
累,累,lèi
冷,冷,lěng
离,離,lí
离开,離開,líkāi
里,裡,lǐ
里边,裡邊,lǐbiān
礼物,禮物,lǐwù
历史,歷史,lìshǐ
立刻,立刻,lìkè
利用,利用,lìyòng
例如,例如,lìrú
俩,倆,liǎ
连...都...,連...都...,lián...dōu...
联系,聯繫,liánxì
脸,臉,liǎn
练习,練習,liànxí
凉快,涼快,liángkuài
两,兩,liǎng
亮,亮,liàng
辆,輛,liàng
了,了,liǎo
了解,瞭解,liǎojiě
零,零,líng
领导,領導,lǐngdǎo
流,流,liú
留,留,liú
留念,留念,liúniàn
留学生,留學生,liúxuéshēng
六,六,liù
楼,樓,lóu
路,路,lù
录音,錄音,lùyīn
旅行,旅行,lǚxíng
绿,綠,lǜ
乱,亂,luàn
妈妈,媽媽,māma
麻烦,麻煩,máfan
马,馬,mǎ
马上,馬上,mǎshàng
吗,嗎,ma
嘛,嘛,ma
买,買,mǎi
卖,賣,mài
满,滿,mǎn
满意,滿意,mǎnyì
慢,慢,màn
忙,忙,máng
毛,毛,máo
帽子,帽子,màozi
没,沒,méi
没关系,沒關係,méiguānxi
没意思,沒意思,méiyìsi
没有,沒有,méiyǒu
每,每,měi
妹妹,妹妹,mèimèi
门,門,mén
门口,門口,ménkǒu
们,們,men
米,米,mǐ
米饭,米飯,mǐfàn
面包,麵包,miànbāo
面条儿,麵條兒,miàntiáor
民族,民族,mínzú
名字,名字,míngzi
明年,明年,míngnián
明天,明天,míngtiān
母亲,母親,mǔqīn
目前,目前,mùqián
拿,拿,ná
哪,哪,nǎ
哪里,哪裡,nǎli
那,那,nà
那个,那個,nǎge
那里,那裡,nǎlǐ
那么,那麼,nàme
那些,那些,nàxiē
那样,那樣,nàyàng
哪,哪,na
呐,吶,na
男,男,nán
南,南,nán
南边,南邊,nánbiān
难,難,nán
呢,呢,ne
内,內,nèi
内容,內容,nèiróng
能,能,néng
能够,能夠,nénggòu
嗯,嗯,ng
你,你,nǐ
你们,你們,nǐmen
年,年,nián
年级,年級,niánjí
年纪,年紀,niánjì
年轻,年輕,niánqīng
念,念,niàn
您,您,nín
牛,牛,niú
牛奶,牛奶,niúnǎi
农村,農村,nóngcūn
农民,農民,nóngmín
农业,農業,nóngyè
努力,努力,nǔlì
女,女,nǚ
女儿,女兒,nǚ'ér
暖和,暖和,nuǎnhuó
爬,爬,pá
怕,怕,pà
拍,拍,pāi
排球,排球,páiqiú
派,派,pài
旁边,旁邊,pángbiān
跑,跑,pǎo
跑步,跑步,pǎobù
朋友,朋友,péngyou
碰,碰,pèng
批评,批評,pīpíng
啤酒,啤酒,píjiǔ
篇,篇,piān
便宜,便宜,piányi
片,片,piàn
漂亮,漂亮,piàoliang
票,票,piào
苹果,蘋果,píngguǒ
瓶,瓶,píng
破,破,pò
七,七,qī
骑,騎,qí
起,起,qǐ
起床,起床,qǐchuáng
起来,起來,qǐlái
汽车,汽車,qìchē
汽水,汽水,qìshuǐ
千,千,qiān
铅笔,鉛筆,qiānbǐ
钱,錢,qián
前,前,qián
前边,前邊,qiánbiān
浅,淺,qiǎn
墙,牆,qiáng
桥,橋,qiáo
青年,青年,qīngnián
轻,輕,qīng
清楚,清楚,qīngchǔ
晴,晴,qíng
情况,情況,qíngkuàng
请,請,qǐng
请假,請假,qǐngjià
请问,請問,qǐngwèn
秋,秋,qiū
秋天,秋天,qiūtiān
球,球,qiú
取得,取得,qǔdé
去,去,qù
去年,去年,qùnián
全,全,quán
全部,全部,quánbù
全体,全體,quántǐ
确实,確實,quèshí
然后,然後,ránhòu
让,讓,ràng
热,熱,rè
热情,熱情,rèqíng
人,人,rén
人们,人們,rénmen
人民,人民,rénmín
任何,任何,rènhé
认识,認識,rènshi
认为,認為,rènwéi
认真,認真,rènzhēn
日,日,rì
日语,日語,Rìyǔ
日子,日子,rìzi
容易,容易,róngyì
肉,肉,ròu
三,三,sān
散步,散步,sànbù
山,山,shān
商店,商店,shāngdiàn
上,上,shàng
上边,上邊,shàngbiān
上课,上課,shàngkè
上来,上來,shànglái
上去,上去,shàngqù
上午,上午,shàngwǔ
上学,上學,shàngxué
少,少,shǎo
社会,社會,shèhuì
身体,身體,shēntǐ
深,深,shēn
什么,什麼,shénme
声,聲,shēng
声调,聲調,shēngdiào
声音,聲音,shēngyīn
生产,生產,shēngchǎn
生词,生詞,shēngcí
生活,生活,shēnghuó
生日,生日,shēngrì
省,省,shěng
剩,剩,shèng
胜利,勝利,shènglì
师傅,師傅,shīfu
十,十,shí
十分,十分,shífēn
时候,時候,shíhou
时间,時間,shíjiān
实践,實踐,shíjiàn
实现,實現,shíxiàn
食堂,食堂,shítáng
使用,使用,shǐyòng
世界,世界,shìjiè
市,市,shì
事,事,shì
事情,事情,shìqing
试,試,shì
是,是,shì
收,收,shōu
收拾,收拾,shōushí
手,手,shǒu
手表,手錶,shǒubiǎo
首都,首都,shǒudū
书,書,shū
输,輸,shū
舒服,舒服,shūfu
熟,熟,shú
数,數,shǔ
树,樹,shù
数,數,shù
数学,數學,shùxué
双,雙,shuāng
谁,誰,shuí
水,水,shuǐ
水果,水果,shuǐguǒ
水平,水平,shuǐpíng
睡,睡,shuì
睡觉,睡覺,shuìjiào
说,說,shuō
说明,說明,shuōmíng
思想,思想,sīxiǎng
死,死,sǐ
四,四,sì
送,送,sòng
宿舍,宿舍,sùshè
酸,酸,suān
算,算,suàn
虽然,雖然,suīrán
岁,歲,suì
所以,所以,suǒyǐ
所有,所有,suǒyǒu
他,他,tā
他们,他們,tāmen
它,它,tā
它们,它們,tāmen
她,她,tā
她们,她們,tāmen
抬,抬,tái
太,太,tài
太阳,太陽,tàiyáng
态度,態度,tàidù
谈,談,tán
汤,湯,tāng
糖,糖,táng
躺,躺,tǎng
讨论,討論,tǎolùn
特别,特別,tèbié
疼,疼,téng
踢,踢,tī
提,提,tí
提高,提高,tígāo
体育,體育,tǐyù
天,天,tiān
天气,天氣,tiānqì
条,條,tiáo
条件,條件,tiáojiàn
跳,跳,tiào
跳舞,跳舞,tiàowǔ
听,聽,tīng
听见,聽見,tīngjiàn
听说,聽說,tīngshuō
听写,聽寫,tīngxiě
停,停,tíng
